Mod Loading Profiling Results:
   Constructing
      FML: 1502ms
      enderio: 1237ms
      forgelin: 1111ms
      pyrotech: 764ms
      immersiveengineering: 633ms
      mekanism: 563ms
      crafttweaker: 393ms
      tombstone: 330ms
      arcanearchives: 306ms
      enderiomachines: 296ms
      inspirations: 214ms
      artisanworktables: 211ms
      roots: 208ms
      mechanics: 201ms
      chisel: 200ms
      ftblib: 190ms
      astralsorcery: 168ms
      ftbutilities: 157ms
      darkutils: 150ms
      ftbquests: 130ms
      contenttweaker: 122ms
      rsgauges: 114ms
      skyresources: 103ms
      storagedrawers: 100ms
      appliedenergistics2: 100ms
      buildinggadgets: 99ms
      dropt: 94ms
      codechickenlib: 89ms
      industrialforegoing: 86ms
      jei: 81ms
      hearthstones: 81ms
      universaltweaks: 79ms
      mysticalworld: 76ms
      teslacorelib: 74ms
      sledgehammer: 70ms
      hwell: 65ms
      enderioconduits: 58ms
      reauth: 58ms
      tetra: 57ms
      base: 56ms
      reactorbuilder: 55ms
      deepmoblearning: 54ms
      nuclearcraft: 53ms
      enderiopowertools: 46ms
      architecturecraft: 46ms
      xencraft: 43ms
      cookingforblockheads: 42ms
      blockdrops: 41ms
      gamestages: 40ms
      enderioconduitsappliedenergistics: 38ms
      naturesaura: 38ms
      forge: 37ms
      solcarrot: 36ms
      autoreglib: 35ms
      vaultopic: 35ms
      bonsaitrees: 34ms
      openglider: 33ms
      pickletweaks: 32ms
      forbidden_arcanus: 31ms
      mysticallib: 31ms
      telepastries: 31ms
      endercore: 31ms
      actuallyadditions: 30ms
      mpbasic: 30ms
      rustic: 29ms
      enderioinvpanel: 28ms
      chiselsandbits: 28ms
      unidict: 28ms
      bdlib: 28ms
      loottweaker: 27ms
      carryon: 26ms
      vanillasatchels: 26ms
      headcrumbs: 26ms
      smoothfont: 26ms
      vanillafoodpantry: 26ms
      immersivecables: 26ms
      scavenge: 25ms
      waterstrainer: 25ms
      classicbar: 25ms
      betterbuilderswands: 24ms
      essentials: 23ms
      netherchest: 23ms
      llibrary: 22ms
      craftingtweaks: 22ms
      baubles: 22ms
      cofhcore: 22ms
      magneticraft: 21ms
      journeymap: 21ms
      integrationforegoing: 21ms
      quark: 21ms
      theoneprobe: 21ms
      elevatorid: 21ms
      gbook_snapshot: 20ms
      placebo: 20ms
      xnet: 19ms
      athenaeum: 19ms
      mcjtylib_ng: 19ms
      simple_trophies: 18ms
      ae2stuff: 18ms
      waddles: 18ms
      bookshelf: 17ms
      inworldcrafting: 17ms
      alchemistry: 17ms
      akashictome: 17ms
      craftingstation: 17ms
      supersoundmuffler: 17ms
      inventorytweaks: 16ms
      discordcraft: 16ms
      enderiointegrationtic: 15ms
      stonechest: 14ms
      speedyhoppers: 14ms
      itemfilters: 14ms
      topography: 13ms
      extraanvils: 13ms
      wanionlib: 13ms
      defaultoptions: 12ms
      mputils: 12ms
      enderioendergy: 12ms
      patchouli: 12ms
      cucumber: 11ms
      morpheus: 10ms
      kleeslabs: 10ms
      ctm: 10ms
      crafttweakerjei: 10ms
      bnbgaminglib: 9ms
      teslacorelib_registries: 9ms
      ftbbackups: 8ms
      chameleon: 8ms
      morecharcoal: 8ms
      custommainmenu: 8ms
      recipestages: 8ms
      oreexcavation: 7ms
      modelloader: 7ms
      mantle: 7ms
      moreoverlays: 7ms
      jeresources: 6ms
      pillar: 6ms
      itlt: 6ms
      enderioconduitsopencomputers: 6ms
      enderiointegrationforestry: 6ms
      glacialawakeningtweaks: 6ms
      worldstripper: 5ms
      enderioconduitsrefinedstorage: 5ms
      alib: 5ms
      resourceloader: 5ms
      loliasm: 5ms
      jeiintegration: 4ms
      naturestopography: 4ms
      gunpowderlib: 4ms
      enderiobase: 4ms
      tipthescales: 4ms
      modnametooltip: 4ms
      ctgui: 4ms
      speedyladders: 4ms
      betteradvancements: 3ms
      mousetweaks: 3ms
      ding: 3ms
      modtweaker: 3ms
      endertweaker: 3ms
